Netflix,Hulu,Prime Video,Disney+,Type,Runtime,IMDb,Threshold
0,0,1,0,0,78,3.3,0
0,0,1,0,0,136,3.3,0
0,0,1,0,0,88,3.3,0
0,0,1,0,0,90,3.3,0
0,0,1,0,0,102,3.3,0
0,0,1,0,0,90,3.3,0
0,0,1,0,0,90,3.3,0
0,0,1,0,0,87,3.3,0
0,0,1,0,0,105,3.3,0
0,0,1,0,0,77,3.3,0
0,0,1,0,0,103,3.3,0
0,0,1,0,0,51,3.3,0
0,0,1,0,0,75,3.3,0
0,0,1,0,0,92,3.3,0
0,0,1,0,0,90,3.3,0
0,0,1,0,0,126,3.3,0
0,0,1,0,0,85,3.3,0
0,0,1,0,0,84,3.3,0
0,0,1,0,0,89,3.3,0
0,0,1,0,0,87,3.3,0
0,0,1,0,0,90,3.3,0
0,0,1,0,0,94,3.3,0
0,0,1,0,0,88,3.3,0
0,0,1,0,0,86,3.3,0
